recon_date,members,n_members
2005-01-01,"[""AAPL"", ""ADBE"", ""AMAT"", ""AMD"", ""AMZN"", ""ARM"", ""ASML"", ""AVGO"", ""CRM"", ""GOOGL""]",10
2005-04-01,"[""AAPL"", ""ADBE"", ""AMAT"", ""AMD"", ""AMZN"", ""ARM"", ""ASML"", ""AVGO"", ""CRM"", ""GOOGL""]",10
2005-07-01,"[""GOOGL"", ""MSFT"", ""INTC"", ""AAPL"", ""AMAT"", ""QCOM"", ""ADBE"", ""AMZN"", ""AMD"", ""NVDA""]",10
2005-10-01,"[""GOOGL"", ""MSFT"", ""AAPL"", ""INTC"", ""QCOM"", ""AMAT"", ""AMZN"", ""AMD"", ""ADBE"", ""NVDA""]",10
2006-01-01,"[""GOOGL"", ""AAPL"", ""MSFT"", ""INTC"", ""AMZN"", ""QCOM"", ""AMD"", ""ADBE"", ""AMAT"", ""NVDA""]",10
2006-04-01,"[""GOOGL"", ""AAPL"", ""MSFT"", ""INTC"", ""AMD"", ""QCOM"", ""AMAT"", ""NVDA"", ""AMZN"", ""ADBE""]",10
2006-07-01,"[""GOOGL"", ""AAPL"", ""MSFT"", ""INTC"", ""QCOM"", ""AMD"", ""AMAT"", ""ADBE"", ""AMZN"", ""NVDA""]",10
2006-10-01,"[""GOOGL"", ""AAPL"", ""MSFT"", ""INTC"", ""AMD"", ""QCOM"", ""AMAT"", ""NVDA"", ""AMZN"", ""ADBE""]",10
2007-01-01,"[""GOOGL"", ""AAPL"", ""MSFT"", ""INTC"", ""AMD"", ""QCOM"", ""AMAT"", ""NVDA"", ""AMZN"", ""ADBE""]",10
2007-04-01,"[""GOOGL"", ""AAPL"", ""MSFT"", ""INTC"", ""QCOM"", ""AMD"", ""AMAT"", ""NVDA"", ""ADBE"", ""AMZN""]",10
2007-07-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""AMZN"", ""INTC"", ""QCOM"", ""NVDA"", ""AMAT"", ""AMD"", ""ADBE""]",10
2007-10-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""INTC"", ""AMZN"", ""QCOM"", ""NVDA"", ""ADBE"", ""AMD"", ""AMAT""]",10
2008-01-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""INTC"", ""AMZN"", ""QCOM"", ""NVDA"", ""ADBE"", ""AMD"", ""AMAT""]",10
2008-04-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""INTC"", ""AMZN"", ""QCOM"", ""AMAT"", ""NVDA"", ""ADBE"", ""AMD""]",10
2008-07-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""INTC"", ""QCOM"", ""AMZN"", ""NVDA"", ""AMAT"", ""ADBE"", ""AMD""]",10
2008-10-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""INTC"", ""QCOM"", ""AMZN"", ""ADBE"", ""AMAT"", ""NVDA"", ""AMD""]",10
2009-01-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""INTC"", ""AMZN"", ""QCOM"", ""ADBE"", ""AMAT"", ""NVDA"", ""CRM""]",10
2009-04-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""AMZN"", ""INTC"", ""QCOM"", ""ADBE"", ""AMAT"", ""NVDA"", ""CRM""]",10
2009-07-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""INTC"", ""AMZN"", ""QCOM"", ""ADBE"", ""NVDA"", ""AMAT"", ""CRM""]",10
2009-10-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""INTC"", ""QCOM"", ""AMZN"", ""ADBE"", ""AMAT"", ""NVDA"", ""CRM""]",10
2010-01-01,"[""AAPL"", ""AMZN"", ""GOOGL"", ""MSFT"", ""INTC"", ""QCOM"", ""AMD"", ""NVDA"", ""ADBE"", ""AMAT""]",10
2010-04-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""AMZN"", ""INTC"", ""QCOM"", ""MU"", ""AMAT"", ""ADBE"", ""NVDA""]",10
2010-07-01,"[""AAPL"", ""MSFT"", ""GOOGL"", ""INTC"", ""AMZN"", ""QCOM"", ""NFLX"", ""MU"", ""ADBE"", ""AMAT""]",10
2010-10-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""AMZN"", ""INTC"", ""NFLX"", ""QCOM"", ""ADBE"", ""MU"", ""AMAT""]",10
2011-01-01,"[""AAPL"", ""GOOGL"", ""NFLX"", ""MSFT"", ""AMZN"", ""INTC"", ""CRM"", ""QCOM"", ""MU"", ""ADBE""]",10
2011-04-01,"[""AAPL"", ""GOOGL"", ""NFLX"", ""MSFT"", ""AMZN"", ""INTC"", ""QCOM"", ""NVDA"", ""MU"", ""CRM""]",10
2011-07-01,"[""AAPL"", ""GOOGL"", ""NFLX"", ""MSFT"", ""INTC"", ""AMZN"", ""QCOM"", ""CRM"", ""MU"", ""NVDA""]",10
2011-10-01,"[""AAPL"", ""GOOGL"", ""NFLX"", ""AMZN"", ""MSFT"", ""INTC"", ""QCOM"", ""CRM"", ""NVDA"", ""MU""]",10
2012-01-01,"[""AAPL"", ""GOOGL"", ""AMZN"", ""MSFT"", ""INTC"", ""QCOM"", ""NFLX"", ""CRM"", ""NVDA"", ""MU""]",10
2012-04-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""AMZN"", ""INTC"", ""NFLX"", ""QCOM"", ""CRM"", ""MU"", ""NVDA""]",10
2012-07-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""AMZN"", ""INTC"", ""QCOM"", ""CRM"", ""NFLX"", ""MU"", ""NVDA""]",10
2012-10-01,"[""AAPL"", ""GOOGL"", ""META"", ""MSFT"", ""AMZN"", ""INTC"", ""QCOM"", ""CRM"", ""NFLX"", ""MU""]",10
2013-01-01,"[""AAPL"", ""META"", ""GOOGL"", ""MSFT"", ""AMZN"", ""INTC"", ""QCOM"", ""NFLX"", ""CRM"", ""MU""]",10
2013-04-01,"[""AAPL"", ""GOOGL"", ""META"", ""MSFT"", ""AMZN"", ""NFLX"", ""INTC"", ""QCOM"", ""CRM"", ""MU""]",10
2013-07-01,"[""AAPL"", ""GOOGL"", ""MSFT"", ""META"", ""AMZN"", ""INTC"", ""NFLX"", ""QCOM"", ""MU"", ""CRM""]",10
2013-10-01,"[""AAPL"", ""META"", ""MSFT"", ""GOOGL"", ""NFLX"", ""AMZN"", ""MU"", ""INTC"", ""QCOM"", ""CRM""]",10
2014-01-01,"[""AAPL"", ""META"", ""GOOGL"", ""MSFT"", ""AMZN"", ""MU"", ""NFLX"", ""INTC"", ""QCOM"", ""CRM""]",10
2014-04-01,"[""AAPL"", ""META"", ""GOOGL"", ""AMZN"", ""MSFT"", ""NFLX"", ""MU"", ""QCOM"", ""INTC"", ""CRM""]",10
2014-07-01,"[""AAPL"", ""META"", ""NFLX"", ""AMZN"", ""GOOGL"", ""MSFT"", ""MU"", ""INTC"", ""QCOM"", ""CRM""]",10
2014-10-01,"[""AAPL"", ""META"", ""MSFT"", ""AMZN"", ""GOOGL"", ""NFLX"", ""MU"", ""INTC"", ""QCOM"", ""CRM""]",10
2015-01-01,"[""AAPL"", ""META"", ""GOOGL"", ""AMZN"", ""MSFT"", ""INTC"", ""NFLX"", ""MU"", ""QCOM"", ""CRM""]",10
2015-04-01,"[""AAPL"", ""META"", ""MSFT"", ""GOOGL"", ""AMZN"", ""INTC"", ""NFLX"", ""MU"", ""QCOM"", ""CRM""]",10
2015-07-01,"[""AAPL"", ""META"", ""NFLX"", ""MSFT"", ""AMZN"", ""GOOGL"", ""INTC"", ""MU"", ""QCOM"", ""CRM""]",10
2015-10-01,"[""AAPL"", ""META"", ""NFLX"", ""AMZN"", ""GOOGL"", ""MSFT"", ""INTC"", ""QCOM"", ""MU"", ""CRM""]",10
2016-01-01,"[""AAPL"", ""AMZN"", ""META"", ""NFLX"", ""MSFT"", ""GOOGL"", ""QCOM"", ""INTC"", ""MU"", ""CRM""]",10
2016-04-01,"[""AAPL"", ""META"", ""AMZN"", ""GOOGL"", ""NFLX"", ""MSFT"", ""INTC"", ""QCOM"", ""CRM"", ""MU""]",10
2016-07-01,"[""AAPL"", ""AMZN"", ""META"", ""MSFT"", ""GOOGL"", ""NFLX"", ""INTC"", ""NVDA"", ""MU"", ""QCOM""]",10
2016-10-01,"[""AAPL"", ""AMZN"", ""META"", ""MSFT"", ""GOOGL"", ""NFLX"", ""INTC"", ""NVDA"", ""QCOM"", ""MU""]",10
2017-01-01,"[""AAPL"", ""AMZN"", ""META"", ""NVDA"", ""MSFT"", ""GOOGL"", ""NFLX"", ""MU"", ""INTC"", ""QCOM""]",10
2017-04-01,"[""AAPL"", ""AMZN"", ""META"", ""NVDA"", ""MSFT"", ""GOOGL"", ""AMD"", ""MU"", ""INTC"", ""NFLX""]",10
2017-07-01,"[""AMZN"", ""AAPL"", ""NVDA"", ""META"", ""GOOGL"", ""MSFT"", ""AMD"", ""MU"", ""NFLX"", ""INTC""]",10
2017-10-01,"[""AAPL"", ""AMZN"", ""NVDA"", ""META"", ""GOOGL"", ""MSFT"", ""MU"", ""NFLX"", ""AMD"", ""INTC""]",10
2018-01-01,"[""AAPL"", ""AMZN"", ""META"", ""NVDA"", ""MU"", ""MSFT"", ""GOOGL"", ""NFLX"", ""INTC"", ""AVGO""]",10
2018-04-01,"[""AMZN"", ""META"", ""AAPL"", ""NVDA"", ""NFLX"", ""MU"", ""MSFT"", ""GOOGL"", ""INTC"", ""AVGO""]",10
2018-07-01,"[""AMZN"", ""AAPL"", ""NFLX"", ""META"", ""MU"", ""NVDA"", ""MSFT"", ""GOOGL"", ""INTC"", ""AMD""]",10
2018-10-01,"[""AMZN"", ""AAPL"", ""AMD"", ""META"", ""NFLX"", ""NVDA"", ""MSFT"", ""GOOGL"", ""MU"", ""INTC""]",10
2019-01-01,"[""AMZN"", ""AAPL"", ""MSFT"", ""META"", ""NFLX"", ""NVDA"", ""GOOGL"", ""AMD"", ""MU"", ""INTC""]",10
2019-04-01,"[""AMZN"", ""AAPL"", ""MSFT"", ""META"", ""NFLX"", ""NVDA"", ""GOOGL"", ""AMD"", ""MU"", ""INTC""]",10
2019-07-01,"[""AMZN"", ""AAPL"", ""META"", ""MSFT"", ""AMD"", ""NFLX"", ""GOOGL"", ""NVDA"", ""MU"", ""INTC""]",10
2019-10-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""NFLX"", ""AMD"", ""GOOGL"", ""NVDA"", ""MU"", ""INTC""]",10
2020-01-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""AMD"", ""NFLX"", ""NVDA"", ""GOOGL"", ""MU"", ""INTC""]",10
2020-04-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""NVDA"", ""META"", ""AMD"", ""GOOGL"", ""NFLX"", ""INTC"", ""MU""]",10
2020-07-01,"[""AAPL"", ""AMZN"", ""META"", ""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""NFLX"", ""INTC"", ""MU""]",10
2020-10-01,"[""AAPL"", ""AMZN"", ""NVDA"", ""MSFT"", ""META"", ""AMD"", ""NFLX"", ""CRM"", ""GOOGL"", ""INTC""]",10
2021-01-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""AMD"", ""NVDA"", ""CRM"", ""GOOGL"", ""NFLX"", ""INTC""]",10
2021-04-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""NVDA"", ""AMD"", ""GOOGL"", ""PLTR"", ""NFLX"", ""INTC""]",10
2021-07-01,"[""AMZN"", ""AAPL"", ""NVDA"", ""MSFT"", ""META"", ""AMD"", ""GOOGL"", ""SHOP"", ""NFLX"", ""PLTR""]",10
2021-10-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""NVDA"", ""META"", ""AMD"", ""GOOGL"", ""NFLX"", ""PLTR"", ""SHOP""]",10
2022-01-01,"[""AAPL"", ""NVDA"", ""AMZN"", ""MSFT"", ""AMD"", ""META"", ""GOOGL"", ""ADBE"", ""NFLX"", ""SHOP""]",10
2022-04-01,"[""AAPL"", ""NVDA"", ""AMD"", ""AMZN"", ""MSFT"", ""META"", ""GOOGL"", ""MU"", ""SHOP"", ""NFLX""]",10
2022-07-01,"[""AAPL"", ""AMZN"", ""AMD"", ""NVDA"", ""MSFT"", ""META"", ""GOOGL"", ""NFLX"", ""SHOP"", ""CRM""]",10
2022-10-01,"[""AAPL"", ""NVDA"", ""AMZN"", ""MSFT"", ""AMD"", ""META"", ""GOOGL"", ""NFLX"", ""CRM"", ""ADBE""]",10
2023-01-01,"[""AAPL"", ""NVDA"", ""AMZN"", ""MSFT"", ""AMD"", ""META"", ""NFLX"", ""GOOGL"", ""CRM"", ""ADBE""]",10
2023-04-01,"[""NVDA"", ""AAPL"", ""MSFT"", ""AMD"", ""AMZN"", ""META"", ""GOOGL"", ""NFLX"", ""CRM"", ""ADBE""]",10
2023-07-01,"[""NVDA"", ""AAPL"", ""MSFT"", ""AMD"", ""AMZN"", ""META"", ""GOOGL"", ""AVGO"", ""NFLX"", ""ADBE""]",10
2023-10-01,"[""NVDA"", ""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""AMD"", ""GOOGL"", ""AVGO"", ""NFLX"", ""ADBE""]",10
2024-01-01,"[""NVDA"", ""MSFT"", ""AAPL"", ""AMD"", ""AMZN"", ""META"", ""AVGO"", ""GOOGL"", ""ADBE"", ""NFLX""]",10
2024-04-01,"[""NVDA"", ""AMD"", ""AAPL"", ""SMCI"", ""MSFT"", ""META"", ""AMZN"", ""GOOGL"", ""AVGO"", ""ADBE""]",10
2024-07-01,"[""NVDA"", ""AAPL"", ""AMD"", ""MSFT"", ""AMZN"", ""AVGO"", ""SMCI"", ""META"", ""GOOGL"", ""MU""]",10
2024-10-01,"[""NVDA"", ""AAPL"", ""MSFT"", ""AMZN"", ""META"", ""AMD"", ""AVGO"", ""SMCI"", ""GOOGL"", ""MU""]",10
2025-01-01,"[""NVDA"", ""AAPL"", ""MSFT"", ""AMZN"", ""AVGO"", ""META"", ""PLTR"", ""GOOGL"", ""AMD"", ""SMCI""]",10
2025-04-01,"[""NVDA"", ""AAPL"", ""META"", ""PLTR"", ""MSFT"", ""AMZN"", ""AVGO"", ""GOOGL"", ""SMCI"", ""AMD""]",10
2025-07-01,"[""NVDA"", ""PLTR"", ""AAPL"", ""MSFT"", ""AMZN"", ""META"", ""GOOGL"", ""AVGO"", ""AMD"", ""NFLX""]",10
2025-10-01,"[""NVDA"", ""AAPL"", ""PLTR"", ""MSFT"", ""AMZN"", ""AVGO"", ""GOOGL"", ""META"", ""AMD"", ""NFLX""]",10
2026-01-01,"[""NVDA"", ""AVGO"", ""GOOGL"", ""AAPL"", ""MSFT"", ""META"", ""AMZN"", ""AMD"", ""PLTR"", ""NFLX""]",10
