stress_q,recovery_q,decay,stress_scale,recovery_scale,score,stage,fold
0.9,0.8,0.8,1.0,0.8,1.2603233292345295,hawkes_only,1
0.9,0.8,0.8,0.8,0.8,1.2603233292345293,hawkes_only,1
0.9,0.8,0.8,1.0,1.0,1.260323329234529,hawkes_only,1
0.9,0.8,0.8,0.8,1.0,1.2603233292345288,hawkes_only,1
0.9,0.85,0.8,1.0,0.8,1.2548051185362474,hawkes_only,1
0.9,0.85,0.8,1.0,1.0,1.2548051185362474,hawkes_only,1
0.9,0.85,0.8,0.8,0.8,1.2548051185362472,hawkes_only,1
0.9,0.85,0.8,0.8,1.0,1.2548051185362472,hawkes_only,1
0.9,0.8,0.65,1.0,1.0,1.216736017718314,hawkes_only,1
0.9,0.8,0.65,0.8,1.0,1.2167360177183135,hawkes_only,1
0.9,0.8,0.65,1.0,0.8,1.2167360177183135,hawkes_only,1
0.9,0.8,0.65,0.8,0.8,1.216736017718313,hawkes_only,1
0.9,0.85,0.65,1.0,1.0,1.2077514649270227,hawkes_only,1
0.9,0.85,0.65,1.0,0.8,1.2077514649270227,hawkes_only,1
0.9,0.85,0.65,0.8,1.0,1.2077514649270222,hawkes_only,1
0.9,0.85,0.65,0.8,0.8,1.2077514649270222,hawkes_only,1
0.85,0.8,0.8,1.0,0.8,1.0818405762413685,hawkes_only,1
0.85,0.8,0.8,0.8,0.8,1.081840576241368,hawkes_only,1
0.85,0.8,0.8,1.0,1.0,1.081840576241368,hawkes_only,1
0.85,0.8,0.8,0.8,1.0,1.0818405762413676,hawkes_only,1
0.85,0.8,0.65,0.8,1.0,1.08158585079934,hawkes_only,1
0.85,0.8,0.65,0.8,0.8,1.0815858507993399,hawkes_only,1
0.85,0.8,0.65,1.0,1.0,1.0815858507993397,hawkes_only,1
0.85,0.8,0.65,1.0,0.8,1.0815858507993394,hawkes_only,1
0.85,0.85,0.8,1.0,1.0,1.0763223655430865,hawkes_only,1
0.85,0.85,0.8,1.0,0.8,1.0763223655430865,hawkes_only,1
0.85,0.85,0.8,0.8,1.0,1.076322365543086,hawkes_only,1
0.85,0.85,0.8,0.8,0.8,1.076322365543086,hawkes_only,1
0.85,0.85,0.65,0.8,0.8,1.0726012980080488,hawkes_only,1
0.85,0.85,0.65,0.8,1.0,1.0726012980080486,hawkes_only,1
0.85,0.85,0.65,1.0,0.8,1.0726012980080484,hawkes_only,1
0.85,0.85,0.65,1.0,1.0,1.0726012980080482,hawkes_only,1
0.9,0.85,0.8,1.0,1.0,0.8940214631436456,hawkes_only,2
0.9,0.85,0.8,1.0,0.8,0.8940214631436456,hawkes_only,2
0.9,0.85,0.8,0.8,1.0,0.8940214631436456,hawkes_only,2
0.9,0.85,0.8,0.8,0.8,0.8940214631436456,hawkes_only,2
0.9,0.85,0.65,1.0,1.0,0.870584249942158,hawkes_only,2
0.9,0.85,0.65,0.8,1.0,0.8705842499421579,hawkes_only,2
0.9,0.85,0.65,1.0,0.8,0.8705842499421579,hawkes_only,2
0.9,0.85,0.65,0.8,0.8,0.8705842499421577,hawkes_only,2
0.85,0.85,0.65,0.8,1.0,0.8422436495696555,hawkes_only,2
0.85,0.85,0.65,0.8,0.8,0.8422436495696553,hawkes_only,2
0.85,0.85,0.65,1.0,1.0,0.8422436495696553,hawkes_only,2
0.85,0.85,0.65,1.0,0.8,0.842243649569655,hawkes_only,2
0.85,0.85,0.8,1.0,1.0,0.8364719395332758,hawkes_only,2
0.85,0.85,0.8,1.0,0.8,0.8364719395332758,hawkes_only,2
0.85,0.85,0.8,0.8,1.0,0.8364719395332758,hawkes_only,2
0.85,0.85,0.8,0.8,0.8,0.8364719395332758,hawkes_only,2
0.9,0.8,0.8,0.8,0.8,0.8193673506883045,hawkes_only,2
0.9,0.8,0.8,0.8,1.0,0.8193673506883045,hawkes_only,2
0.9,0.8,0.8,1.0,0.8,0.8193673506883045,hawkes_only,2
0.9,0.8,0.8,1.0,1.0,0.8193673506883045,hawkes_only,2
0.9,0.8,0.65,1.0,0.8,0.815248184248514,hawkes_only,2
0.9,0.8,0.65,0.8,0.8,0.8152481842485139,hawkes_only,2
0.9,0.8,0.65,1.0,1.0,0.8152481842485138,hawkes_only,2
0.9,0.8,0.65,0.8,1.0,0.8152481842485136,hawkes_only,2
0.85,0.8,0.65,0.8,0.8,0.7869075838760115,hawkes_only,2
0.85,0.8,0.65,0.8,1.0,0.7869075838760112,hawkes_only,2
0.85,0.8,0.65,1.0,0.8,0.7869075838760111,hawkes_only,2
0.85,0.8,0.65,1.0,1.0,0.7869075838760109,hawkes_only,2
0.85,0.8,0.8,0.8,0.8,0.7618178270779347,hawkes_only,2
0.85,0.8,0.8,0.8,1.0,0.7618178270779347,hawkes_only,2
0.85,0.8,0.8,1.0,0.8,0.7618178270779346,hawkes_only,2
0.85,0.8,0.8,1.0,1.0,0.7618178270779346,hawkes_only,2
0.9,0.85,0.8,1.0,1.0,0.7859544524743076,hawkes_only,3
0.9,0.85,0.8,1.0,0.8,0.7859544524743075,hawkes_only,3
0.9,0.85,0.8,0.8,1.0,0.7859544524743074,hawkes_only,3
0.9,0.85,0.8,0.8,0.8,0.7859544524743073,hawkes_only,3
0.9,0.85,0.65,1.0,0.8,0.7178328386971597,hawkes_only,3
0.9,0.85,0.65,0.8,0.8,0.7178328386971597,hawkes_only,3
0.9,0.85,0.65,0.8,1.0,0.7178328386971596,hawkes_only,3
0.9,0.85,0.65,1.0,1.0,0.7178328386971595,hawkes_only,3
0.9,0.8,0.8,1.0,0.8,0.675370999049922,hawkes_only,3
0.9,0.8,0.8,1.0,1.0,0.675370999049922,hawkes_only,3
0.9,0.8,0.8,0.8,0.8,0.6753709990499218,hawkes_only,3
0.9,0.8,0.8,0.8,1.0,0.6753709990499218,hawkes_only,3
0.9,0.8,0.65,0.8,0.8,0.6543104610326775,hawkes_only,3
0.9,0.8,0.65,0.8,1.0,0.6543104610326774,hawkes_only,3
0.9,0.8,0.65,1.0,0.8,0.6543104610326774,hawkes_only,3
0.9,0.8,0.65,1.0,1.0,0.6543104610326773,hawkes_only,3
0.85,0.85,0.8,0.8,1.0,0.5865468009005439,hawkes_only,3
0.85,0.85,0.8,0.8,0.8,0.5865468009005437,hawkes_only,3
0.85,0.85,0.8,1.0,1.0,0.5865468009005435,hawkes_only,3
0.85,0.85,0.8,1.0,0.8,0.5865468009005433,hawkes_only,3
0.85,0.85,0.65,0.8,0.8,0.5514460178962352,hawkes_only,3
0.85,0.85,0.65,0.8,1.0,0.551446017896235,hawkes_only,3
0.85,0.85,0.65,1.0,0.8,0.551446017896235,hawkes_only,3
0.85,0.85,0.65,1.0,1.0,0.5514460178962349,hawkes_only,3
0.85,0.8,0.65,0.8,0.8,0.48792364023175294,hawkes_only,3
0.85,0.8,0.65,1.0,0.8,0.48792364023175283,hawkes_only,3
0.85,0.8,0.65,0.8,1.0,0.4879236402317528,hawkes_only,3
0.85,0.8,0.65,1.0,1.0,0.4879236402317527,hawkes_only,3
0.85,0.8,0.8,0.8,0.8,0.4759633474761582,hawkes_only,3
0.85,0.8,0.8,0.8,1.0,0.4759633474761582,hawkes_only,3
0.85,0.8,0.8,1.0,0.8,0.47596334747615787,hawkes_only,3
0.85,0.8,0.8,1.0,1.0,0.47596334747615787,hawkes_only,3
0.85,0.85,0.65,1.0,0.8,0.4497569223114127,hawkes_only,4
0.85,0.85,0.65,1.0,1.0,0.4497569223114127,hawkes_only,4
0.85,0.85,0.65,0.8,0.8,0.44975692231141257,hawkes_only,4
0.85,0.85,0.65,0.8,1.0,0.44975692231141257,hawkes_only,4
0.85,0.85,0.8,0.8,0.8,0.4448238765768381,hawkes_only,4
0.85,0.85,0.8,0.8,1.0,0.444823876576838,hawkes_only,4
0.85,0.85,0.8,1.0,0.8,0.444823876576838,hawkes_only,4
0.85,0.85,0.8,1.0,1.0,0.44482387657683786,hawkes_only,4
0.85,0.8,0.65,1.0,1.0,0.40844070762541435,hawkes_only,4
0.85,0.8,0.65,1.0,0.8,0.4084407076254143,hawkes_only,4
0.85,0.8,0.65,0.8,1.0,0.40844070762541423,hawkes_only,4
0.85,0.8,0.65,0.8,0.8,0.4084407076254142,hawkes_only,4
0.85,0.8,0.8,0.8,1.0,0.4029463869458213,hawkes_only,4
0.85,0.8,0.8,0.8,0.8,0.4029463869458213,hawkes_only,4
0.85,0.8,0.8,1.0,1.0,0.4029463869458212,hawkes_only,4
0.85,0.8,0.8,1.0,0.8,0.4029463869458212,hawkes_only,4
0.9,0.85,0.65,1.0,1.0,0.35516063217137284,hawkes_only,4
0.9,0.85,0.65,1.0,0.8,0.35516063217137284,hawkes_only,4
0.9,0.85,0.65,0.8,1.0,0.35516063217137284,hawkes_only,4
0.9,0.85,0.65,0.8,0.8,0.35516063217137284,hawkes_only,4
0.9,0.85,0.8,0.8,0.8,0.3434134184234033,hawkes_only,4
0.9,0.85,0.8,0.8,1.0,0.3434134184234031,hawkes_only,4
0.9,0.85,0.8,1.0,0.8,0.3434134184234031,hawkes_only,4
0.9,0.85,0.8,1.0,1.0,0.343413418423403,hawkes_only,4
0.9,0.8,0.65,1.0,1.0,0.3138444174853745,hawkes_only,4
0.9,0.8,0.65,0.8,1.0,0.3138444174853745,hawkes_only,4
0.9,0.8,0.65,1.0,0.8,0.31384441748537445,hawkes_only,4
0.9,0.8,0.65,0.8,0.8,0.31384441748537445,hawkes_only,4
0.9,0.8,0.8,0.8,0.8,0.3015359287923865,hawkes_only,4
0.9,0.8,0.8,0.8,1.0,0.30153592879238644,hawkes_only,4
0.9,0.8,0.8,1.0,1.0,0.30153592879238633,hawkes_only,4
0.9,0.8,0.8,1.0,0.8,0.30153592879238633,hawkes_only,4
0.9,0.85,0.65,0.8,0.8,0.7380308766822121,hawkes_only,5
0.9,0.85,0.65,0.8,1.0,0.7380308766822121,hawkes_only,5
0.9,0.85,0.65,1.0,0.8,0.7380308766822121,hawkes_only,5
0.9,0.85,0.65,1.0,1.0,0.7380308766822121,hawkes_only,5
0.9,0.8,0.65,1.0,0.8,0.7191697771745327,hawkes_only,5
0.9,0.8,0.65,0.8,0.8,0.7191697771745327,hawkes_only,5
0.9,0.8,0.65,1.0,1.0,0.7191697771745326,hawkes_only,5
0.9,0.8,0.65,0.8,1.0,0.7191697771745326,hawkes_only,5
0.85,0.85,0.65,1.0,1.0,0.6983707545743472,hawkes_only,5
0.85,0.85,0.65,1.0,0.8,0.698370754574347,hawkes_only,5
0.85,0.85,0.65,0.8,0.8,0.6983707545743469,hawkes_only,5
0.85,0.85,0.65,0.8,1.0,0.6983707545743469,hawkes_only,5
0.85,0.8,0.65,1.0,0.8,0.6795096550666676,hawkes_only,5
0.85,0.8,0.65,0.8,0.8,0.6795096550666675,hawkes_only,5
0.85,0.8,0.65,1.0,1.0,0.6795096550666675,hawkes_only,5
0.85,0.8,0.65,0.8,1.0,0.6795096550666674,hawkes_only,5
0.9,0.85,0.8,0.8,0.8,0.667741643559358,hawkes_only,5
0.9,0.85,0.8,0.8,1.0,0.667741643559358,hawkes_only,5
0.9,0.85,0.8,1.0,0.8,0.6677416435593577,hawkes_only,5
0.9,0.85,0.8,1.0,1.0,0.6677416435593577,hawkes_only,5
0.9,0.8,0.8,0.8,1.0,0.6572760421790561,hawkes_only,5
0.9,0.8,0.8,0.8,0.8,0.657276042179056,hawkes_only,5
0.9,0.8,0.8,1.0,1.0,0.6572760421790559,hawkes_only,5
0.9,0.8,0.8,1.0,0.8,0.6572760421790558,hawkes_only,5
0.85,0.85,0.8,1.0,0.8,0.6164629369122293,hawkes_only,5
0.85,0.85,0.8,1.0,1.0,0.6164629369122292,hawkes_only,5
0.85,0.85,0.8,0.8,0.8,0.6164629369122292,hawkes_only,5
0.85,0.85,0.8,0.8,1.0,0.6164629369122292,hawkes_only,5
0.85,0.8,0.8,1.0,1.0,0.6059973355319275,hawkes_only,5
0.85,0.8,0.8,0.8,1.0,0.6059973355319274,hawkes_only,5
0.85,0.8,0.8,1.0,0.8,0.6059973355319274,hawkes_only,5
0.85,0.8,0.8,0.8,0.8,0.6059973355319273,hawkes_only,5
